DATA: RIGID2   408   405     CA     N    16     1      4.75559420      4.75559420
DATA: RIGID2   408   405     CA    CA    16     2      5.23011219      5.23011219
DATA: RIGID2   408   405      C     N    17     1      4.00910385      4.00910385
DATA: RIGID2   408   405      C    CA    17     2      4.86409633      4.86409633
DATA: RIGID2   405   405      N    CA     1     2      1.44046840      1.44046840

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: HYDRORIG2   407   407      C    HA    12    14      2.10268892      2.10268892
DATA: HYDRORIG2   407   408     HA     H    14    18      3.11242562      3.31242562
DATA: HYDRORIG2   407   408     HA    HA    14    19      4.26507012      4.46507012
DATA: HYDRORIG2   407   408     CA     H    11    18      2.57690642      2.57690642
DATA: HYDRORIG2   407   408      C     H    12    18      2.03125891      2.03125891
DATA: HYDRORIG2   408   408      N     H    15    18      0.99751691      0.99751691
DATA: HYDRORIG2   408   408     CA     H    16    18      2.13187879      2.13187879
DATA: HYDRORIG2   408   408      H    HA    18    19      2.76036685      2.96036685
DATA: HYDRORIG2   408   405      H    HA    18     4      4.71037715      4.91037715
DATA: HYDRORIG2   408   408      N    HA    15    19      2.04203337      2.04203337
DATA: HYDRORIG2   408   408     CA    HA    16    19      1.10271091      1.10271091
DATA: HYDRORIG2   408   408      C    HA    17    19      2.12625921      2.12625921
DATA: HYDRORIG2   405   405      N    HA     1     4      2.11985394      2.11985394

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: CROSSHYDRORIG_0_1   405   407     HA     H     4    13      4.75316698      4.95316698
DATA: CROSSHYDRORIG_0_1   406   407      H     H     8    13      2.58133284      2.78133284

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: CROSSHYDRORIG_1_2   406   408     HA     H     9    18      4.64552385      4.84552385
DATA: CROSSHYDRORIG_1_2   406   405     HA    HA     9     4      4.17275491      4.37275491
DATA: CROSSHYDRORIG_1_2   407   408      H     H    13    18      1.95499923      2.15499923
DATA: CROSSHYDRORIG_1_2   407   408      H    HA    13    19      4.62789809      4.82789809
DATA: CROSSHYDRORIG_1_2   407   405      H    HA    13     4      4.63450571      4.83450571

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: CROSSHYDRORIG_0_2   406   408      H     H     8    18      3.90943571      4.10943571
DATA: CROSSHYDRORIG_0_2   406   407     HA    HA     9    14      4.38640161      4.58640161
DATA: CROSSHYDRORIG_0_2   406   408     HA     H     9    18      4.51601935      4.71601935

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J   LIJ     UIJ
DATA: LINKS    405   405      N     C     1     3 2.35180 2.35180
DATA: LINKS    406   406      N     C     5     7 2.48562 2.48562
DATA: LINKS    407   407      N     C    10    12 2.52297 2.52297
